days_before_started_study,num_slides,num_assignments_done,avg_sleep_last_week,coffee_cups_per_day,hours_studied_last_week,avg_quiz_score,midterm_score,assignments_done_ratio,class_attendance_ratio,sleep_hours_before_exam,stress_level,ai_background,mentality_type,exam_time,crisis_type,final_exam_score
10,260,0,7.6,5,13.5,17.3,,0.0,0.79,6.7,2.0,none,memorization_heavy,morning,Denial_mode,10.9
10,116,5,5.2,1,9.2,4.5,7.5,0.53,0.34,3.8,4.0,none,theory_heavy,morning,panic_mode,0.0
5,247,8,8.8,5,12.7,14.1,12.0,0.87,0.66,9.0,1.0,basic,project_heavy,morning,Denial_mode,7.9
0,138,8,8.6,3,11.8,15.1,16.4,0.9,0.86,6.2,3.0,basic,memorization_heavy,afternoon,No_issue,14.6
6,137,2,8.2,0,33.4,8.9,12.0,0.23,0.25,6.9,2.0,basic,theory_heavy,morning,Denial_mode,9.9
10,264,8,5.5,0,16.4,13.4,12.6,0.82,0.66,8.8,3.0,none,theory_heavy,morning,No_issue,13.5
0,217,7,5.0,7,10.8,11.9,12.2,0.77,0.38,5.5,4.0,basic,theory_heavy,afternoon,panic_mode,6.4
6,231,9,7.4,0,3.6,12.1,16.2,0.99,0.42,7.8,2.0,basic,memorization_heavy,afternoon,No_issue,13.5
0,261,4,4.1,3,9.2,6.7,9.1,0.44,0.97,6.0,5.0,none,project_heavy,morning,panic_mode,2.9
10,87,1,7.3,4,10.5,10.9,9.1,0.15,0.33,8.7,2.0,none,theory_heavy,afternoon,Denial_mode,7.5
6,54,3,5.0,3,11.6,8.6,11.9,0.32,0.25,5.8,2.0,basic,project_heavy,afternoon,No_issue,13.4
1,203,7,8.0,3,6.7,8.3,13.1,0.79,0.07,3.4,3.0,none,project_heavy,afternoon,panic_mode,15.1
4,282,9,4.9,4,9.2,11.5,9.7,0.93,0.99,5.0,4.0,none,memorization_heavy,Evening,panic_mode,10.9
4,79,1,5.8,4,0.3,11.4,14.6,0.14,0.23,7.4,3.0,basic,memorization_heavy,morning,No_issue,11.3
2,244,2,4.5,6,1.6,11.0,15.8,0.24,0.69,7.5,5.0,strong,memorization_heavy,afternoon,Denial_mode,6.8
9,295,4,7.9,2,11.0,5.9,11.1,0.45,0.45,6.3,1.0,none,project_heavy,afternoon,No_issue,12.1
1,254,2,5.0,6,2.5,15.4,15.4,0.23,0.45,6.5,4.0,basic,project_heavy,afternoon,Denial_mode,6.3
7,227,3,6.3,5,18.5,14.6,16.9,0.34,0.62,5.5,3.0,strong,memorization_heavy,afternoon,No_issue,17.8
0,159,2,5.7,7,10.5,7.1,9.9,0.26,0.78,8.1,4.0,none,project_heavy,morning,panic_mode,11.0
1,248,3,6.3,2,8.5,10.1,16.1,0.37,0.38,4.8,5.0,strong,memorization_heavy,afternoon,panic_mode,12.8
9,174,4,4.3,6,10.2,13.6,12.5,0.5,0.96,8.4,4.0,none,memorization_heavy,morning,panic_mode,10.3
9,230,2,6.6,6,20.0,6.7,9.8,0.25,0.5,8.7,4.0,none,project_heavy,morning,panic_mode,4.1
3,171,4,8.0,2,11.8,6.0,9.4,0.47,0.95,5.8,,none,project_heavy,morning,No_issue,9.8
8,120,0,6.9,1,17.9,3.4,9.4,0.05,0.3,3.8,3.0,none,project_heavy,Evening,panic_mode,6.2
1,263,9,4.5,3,3.2,8.4,,0.99,0.3,5.7,4.0,basic,theory_heavy,Evening,Denial_mode,8.0
4,85,1,4.7,7,12.1,15.8,14.7,0.12,0.59,3.5,3.0,basic,memorization_heavy,afternoon,panic_mode,11.4
5,190,9,5.9,2,25.7,14.8,16.7,0.97,0.6,4.7,,basic,theory_heavy,Evening,panic_mode,18.8
4,200,3,4.2,7,25.3,9.3,10.9,0.39,0.21,7.9,3.0,none,theory_heavy,afternoon,panic_mode,5.5
0,76,0,6.7,6,7.5,6.9,9.7,0.06,0.48,4.6,5.0,none,project_heavy,afternoon,panic_mode,10.7
0,236,6,6.1,1,4.4,9.1,11.8,0.7,0.32,6.9,5.0,none,memorization_heavy,morning,Denial_mode,4.5
4,109,7,5.7,0,34.2,15.0,9.2,0.72,0.79,7.5,3.0,none,memorization_heavy,Evening,panic_mode,12.2
2,240,2,6.1,0,31.6,18.2,18.7,0.27,0.33,3.8,4.0,strong,theory_heavy,afternoon,panic_mode,14.4
0,87,8,5.9,1,7.2,9.6,10.4,0.83,0.27,3.8,5.0,basic,theory_heavy,morning,panic_mode,6.5
4,260,6,7.7,3,2.1,9.7,13.2,0.66,0.22,6.7,2.0,strong,project_heavy,morning,No_issue,11.8
10,77,3,7.6,4,2.1,11.7,14.7,0.36,0.31,3.2,3.0,basic,project_heavy,Evening,panic_mode,11.3
8,230,6,6.9,4,3.0,16.4,14.2,0.68,0.89,7.3,3.0,strong,theory_heavy,morning,No_issue,15.6
5,242,9,7.1,7,34.4,5.4,6.1,0.95,0.25,5.1,2.0,none,memorization_heavy,morning,No_issue,11.6
9,70,3,5.7,3,12.4,15.7,14.5,0.33,0.89,8.5,3.0,basic,memorization_heavy,Evening,No_issue,17.1
3,240,1,7.3,3,8.7,13.3,14.1,0.12,0.94,3.5,3.0,basic,project_heavy,Evening,panic_mode,9.6
4,166,6,5.2,4,32.7,10.4,13.0,0.63,0.0,6.5,2.0,basic,project_heavy,morning,No_issue,15.0
6,65,3,7.3,6,19.6,4.5,9.3,0.37,0.22,3.6,4.0,none,theory_heavy,Evening,panic_mode,9.3
3,245,5,5.1,1,6.2,9.3,8.2,0.55,0.88,7.8,5.0,none,theory_heavy,morning,panic_mode,4.7
5,149,3,4.1,3,32.1,16.4,15.0,0.32,0.55,7.1,3.0,basic,project_heavy,afternoon,No_issue,17.9
2,214,3,6.5,6,5.0,9.7,11.8,0.33,0.17,8.0,4.0,basic,project_heavy,Evening,Denial_mode,3.3
9,78,8,8.4,2,7.4,14.3,15.3,0.8,0.54,5.9,3.0,basic,project_heavy,Evening,No_issue,15.2
10,217,4,6.6,0,9.7,16.9,12.5,0.41,0.72,7.4,3.0,,theory_heavy,Evening,No_issue,15.2
3,142,2,7.6,4,34.0,16.2,14.5,0.25,0.87,5.1,1.0,none,project_heavy,morning,Denial_mode,12.6
7,200,3,5.7,1,10.1,9.8,13.3,0.4,0.5,8.1,,basic,theory_heavy,Evening,No_issue,14.8
8,254,9,5.7,5,28.9,10.3,11.7,0.93,0.81,3.6,3.0,none,project_heavy,morning,panic_mode,7.8
5,176,1,6.6,5,16.3,9.1,12.5,0.18,0.27,7.8,3.0,basic,project_heavy,afternoon,No_issue,13.5
10,50,2,8.1,4,4.2,15.4,13.1,0.26,0.67,8.5,2.0,basic,theory_heavy,Evening,Denial_mode,5.2
7,291,6,4.4,7,36.5,6.8,10.0,0.62,0.28,4.1,4.0,none,theory_heavy,afternoon,panic_mode,4.7
2,175,1,6.9,2,16.0,4.2,9.5,0.17,0.24,4.6,4.0,none,theory_heavy,morning,panic_mode,9.8
7,160,8,5.7,1,19.6,2.3,9.4,0.84,0.12,4.9,2.0,none,theory_heavy,afternoon,No_issue,11.5
5,137,9,5.4,7,36.0,4.3,7.8,0.92,0.12,6.2,3.0,none,project_heavy,Evening,panic_mode,7.5
7,185,2,4.8,5,6.9,2.5,9.9,0.23,0.09,8.1,4.0,none,project_heavy,morning,panic_mode,0.0
8,243,6,5.5,6,21.3,7.4,12.1,0.63,0.14,5.1,3.0,none,memorization_heavy,Evening,panic_mode,17.1
9,112,1,4.8,1,37.8,4.0,7.2,0.19,0.09,6.5,,none,project_heavy,morning,Denial_mode,5.0
9,159,0,7.5,3,36.0,9.6,15.0,0.05,0.63,5.0,2.0,strong,theory_heavy,morning,Denial_mode,11.0
0,247,6,5.3,3,11.2,5.9,11.6,0.61,0.39,7.4,4.0,strong,project_heavy,afternoon,No_issue,12.5
5,226,2,4.8,5,22.8,18.3,15.1,0.26,0.67,8.4,,strong,theory_heavy,Evening,No_issue,16.1
9,83,2,6.3,4,4.0,12.9,9.3,0.3,0.53,4.8,4.0,basic,memorization_heavy,afternoon,panic_mode,3.3
10,285,3,5.8,5,34.2,1.7,7.1,0.35,0.45,3.3,3.0,none,theory_heavy,Evening,panic_mode,5.8
3,251,4,6.2,2,31.0,3.3,3.5,0.45,0.76,5.0,3.0,,memorization_heavy,Evening,panic_mode,9.1
8,287,5,7.7,2,25.9,8.7,11.7,0.55,1.0,3.5,1.0,basic,project_heavy,Evening,No_issue,12.7
2,225,0,7.3,5,16.1,12.8,14.2,0.03,0.86,8.9,5.0,basic,memorization_heavy,morning,No_issue,15.9
3,157,4,4.7,6,32.9,8.9,10.3,0.49,0.39,7.5,4.0,strong,theory_heavy,afternoon,panic_mode,13.8
8,122,7,5.0,0,30.5,1.9,6.4,0.78,0.9,8.5,,none,theory_heavy,morning,panic_mode,11.9
6,214,0,5.7,0,22.1,12.4,8.8,0.01,0.86,4.0,3.0,basic,memorization_heavy,afternoon,panic_mode,13.4
1,162,2,7.0,5,5.7,15.0,15.7,0.27,0.01,5.3,4.0,basic,theory_heavy,morning,No_issue,14.2
8,82,6,5.8,1,20.0,8.0,12.8,0.66,0.39,8.9,4.0,none,memorization_heavy,afternoon,No_issue,15.8
5,127,7,6.0,4,28.8,11.2,9.6,0.71,0.07,8.1,4.0,,theory_heavy,Evening,panic_mode,7.1
1,101,9,5.6,0,10.4,17.6,16.9,0.95,0.83,5.5,3.0,strong,memorization_heavy,morning,No_issue,16.1
4,248,7,8.6,6,29.8,16.1,11.1,0.76,0.79,6.8,3.0,none,project_heavy,Evening,panic_mode,8.4
4,156,8,4.7,1,25.6,12.2,13.9,0.87,0.07,7.2,2.0,basic,project_heavy,afternoon,No_issue,14.1
10,200,9,5.3,3,155.0,7.8,8.9,0.97,0.91,4.6,,none,theory_heavy,afternoon,panic_mode,8.5
3,137,4,5.7,1,18.2,12.7,14.3,0.43,0.29,5.8,,basic,theory_heavy,Evening,No_issue,16.7
6,237,4,6.7,5,4.9,14.2,16.6,0.42,0.45,3.1,,strong,memorization_heavy,morning,panic_mode,10.5
8,232,2,7.1,5,26.2,7.2,10.2,0.29,0.18,7.2,3.0,none,project_heavy,afternoon,No_issue,13.5
5,229,1,6.7,0,23.1,6.3,9.1,0.14,0.06,7.7,4.0,none,memorization_heavy,Evening,panic_mode,12.9
8,280,1,4.7,1,34.3,3.5,8.6,0.19,0.48,8.1,4.0,none,project_heavy,afternoon,panic_mode,11.8
3,211,5,4.7,2,31.6,8.3,13.1,0.51,0.45,6.1,3.0,none,project_heavy,afternoon,No_issue,14.9
10,222,0,4.7,4,30.0,12.1,13.5,0.04,0.81,3.8,3.0,strong,memorization_heavy,Evening,panic_mode,12.2
0,251,2,8.4,1,6.4,10.9,14.2,0.29,0.52,6.8,3.0,none,theory_heavy,afternoon,No_issue,12.5
2,193,2,7.3,6,38.1,9.3,14.8,0.24,0.15,5.0,3.0,,theory_heavy,Evening,panic_mode,14.1
3,102,3,5.1,4,35.5,12.6,11.7,0.36,0.13,8.4,3.0,none,memorization_heavy,afternoon,No_issue,14.9
8,185,3,5.8,1,10.4,8.6,12.4,0.33,0.65,3.9,2.0,basic,memorization_heavy,morning,No_issue,11.8
0,132,9,4.7,5,1.3,8.4,,0.96,0.33,3.9,5.0,,theory_heavy,Evening,Denial_mode,4.5
7,271,9,6.7,3,37.1,9.9,15.5,0.97,0.01,8.4,3.0,basic,memorization_heavy,afternoon,No_issue,16.4
4,281,5,4.8,2,16.4,13.4,13.0,0.51,0.68,3.4,3.0,basic,project_heavy,Evening,panic_mode,12.7
1,119,0,6.4,4,6.3,11.5,7.9,0.03,0.85,6.5,5.0,none,memorization_heavy,afternoon,panic_mode,3.8
8,67,8,7.2,3,2.4,19.3,18.3,0.82,0.06,8.7,3.0,strong,memorization_heavy,afternoon,No_issue,16.2
10,204,2,5.7,5,35.4,7.9,7.6,0.29,0.1,6.9,3.0,none,memorization_heavy,Evening,panic_mode,11.4
10,82,4,8.0,1,10.4,16.6,16.1,0.49,0.47,6.7,2.0,,memorization_heavy,afternoon,No_issue,15.6
10,297,4,8.7,7,6.8,9.1,13.3,0.48,0.21,8.8,3.0,basic,project_heavy,afternoon,panic_mode,9.4
1,284,2,5.4,4,1.4,8.8,15.0,0.22,0.29,4.6,5.0,none,theory_heavy,morning,Denial_mode,5.5
6,78,4,4.8,4,18.0,11.3,8.3,0.47,0.25,5.0,2.0,basic,theory_heavy,afternoon,No_issue,12.4
0,229,9,4.5,0,5.9,10.9,12.0,0.99,0.43,3.8,4.0,none,theory_heavy,Evening,panic_mode,8.4
10,115,8,6.1,1,23.0,17.1,14.1,0.81,0.14,6.6,2.0,basic,project_heavy,afternoon,No_issue,16.6
8,202,1,4.2,0,30.4,10.0,14.6,0.19,0.44,3.8,3.0,basic,project_heavy,morning,panic_mode,18.0
10,218,0,5.3,1,34.3,4.8,6.9,0.02,0.02,8.8,3.0,,theory_heavy,Evening,panic_mode,7.5
0,280,2,7.9,4,8.4,15.1,13.5,0.29,0.73,6.2,3.0,none,project_heavy,morning,No_issue,15.5
8,143,3,4.6,4,3.8,8.1,12.3,0.38,0.54,7.4,3.0,none,theory_heavy,afternoon,No_issue,12.1
8,98,5,7.7,6,7.1,2.8,4.5,0.6,0.46,4.6,4.0,none,project_heavy,morning,panic_mode,4.6
0,240,3,4.2,5,5.5,5.8,,0.33,0.57,7.7,5.0,basic,memorization_heavy,morning,No_issue,11.5
9,264,9,8.6,1,27.0,4.8,7.7,0.9,0.12,8.5,2.0,none,project_heavy,morning,Denial_mode,6.3
5,67,6,5.9,2,39.5,11.2,13.9,0.66,0.25,7.5,4.0,none,theory_heavy,morning,No_issue,16.8
2,288,9,6.1,5,8.3,6.2,10.6,0.93,0.42,3.1,5.0,basic,project_heavy,morning,panic_mode,11.0
9,260,8,7.5,7,6.0,6.4,11.6,0.84,0.16,6.3,,basic,memorization_heavy,afternoon,panic_mode,3.6
8,257,5,4.9,3,21.3,12.9,13.3,0.57,0.35,3.2,3.0,basic,project_heavy,Evening,panic_mode,8.6
8,277,6,8.9,1,8.4,3.5,,0.63,0.32,7.4,3.0,basic,memorization_heavy,Evening,No_issue,10.0
3,210,8,4.5,1,23.8,8.9,11.0,0.88,0.84,3.0,3.0,basic,memorization_heavy,morning,panic_mode,12.9
6,195,3,7.0,6,24.0,13.0,13.2,0.31,1.0,5.3,2.0,basic,project_heavy,morning,No_issue,14.1
5,296,6,8.4,1,33.6,13.0,14.8,0.62,0.46,4.1,2.0,basic,project_heavy,afternoon,No_issue,16.1
7,295,8,4.3,6,30.8,6.6,6.7,0.86,0.75,5.2,,none,memorization_heavy,Evening,panic_mode,11.1
0,278,3,6.0,7,0.5,13.1,10.2,0.39,0.9,7.2,5.0,none,memorization_heavy,Evening,Denial_mode,3.2
8,61,9,8.7,2,20.3,3.2,-5.0,0.96,0.01,4.7,2.0,none,theory_heavy,Evening,No_issue,10.6
1,107,6,4.7,3,1.2,6.0,11.7,0.66,0.68,4.5,4.0,basic,memorization_heavy,morning,Denial_mode,4.0
7,120,4,7.4,3,13.6,7.6,13.3,0.46,0.16,5.3,2.0,basic,memorization_heavy,Evening,No_issue,16.1
10,290,9,8.9,0,31.7,8.7,10.4,0.91,0.58,6.0,1.0,none,memorization_heavy,Evening,No_issue,12.3
2,179,0,6.6,6,37.9,11.5,15.0,0.01,0.4,5.2,3.0,none,memorization_heavy,Evening,panic_mode,10.3
4,99,4,6.9,3,5.1,11.6,13.3,0.47,0.62,5.2,3.0,basic,memorization_heavy,morning,No_issue,12.8
6,95,2,5.5,7,11.9,7.4,16.2,0.29,0.12,3.3,,strong,theory_heavy,afternoon,panic_mode,10.0
1,234,5,6.4,3,4.5,10.5,9.4,0.52,0.74,5.8,4.0,none,project_heavy,afternoon,Denial_mode,5.4
5,70,8,6.5,6,31.2,11.6,16.1,0.86,0.39,3.5,3.0,strong,theory_heavy,afternoon,panic_mode,14.5
9,168,6,8.2,7,25.9,13.8,12.7,0.62,0.81,8.9,2.0,none,memorization_heavy,Evening,Denial_mode,10.8
10,188,7,7.6,2,16.4,9.1,9.2,0.77,0.02,3.2,1.0,none,project_heavy,Evening,No_issue,13.6
7,275,2,7.9,1,20.9,12.5,13.2,0.28,0.53,8.2,1.0,basic,project_heavy,morning,Denial_mode,11.0
1,194,6,8.6,5,7.2,14.9,16.1,0.61,0.13,4.8,4.0,,project_heavy,Evening,panic_mode,11.8
9,279,6,7.7,3,15.4,15.0,11.7,0.68,0.73,4.4,3.0,none,project_heavy,afternoon,panic_mode,10.8
1,135,6,5.7,1,10.5,15.2,13.9,0.61,0.6,8.4,4.0,basic,memorization_heavy,morning,No_issue,15.8
6,210,5,8.1,6,37.5,15.5,11.4,0.54,0.81,6.9,3.0,basic,theory_heavy,morning,panic_mode,13.8
10,142,9,8.6,5,25.6,2.6,11.0,0.95,0.08,7.9,2.0,,project_heavy,morning,No_issue,12.1
6,108,0,4.1,2,6.6,15.4,15.6,0.04,0.96,9.0,3.0,strong,project_heavy,afternoon,No_issue,14.1
10,133,7,8.6,2,32.0,11.5,11.9,0.79,0.96,5.2,1.0,basic,theory_heavy,Evening,No_issue,13.6
2,143,1,8.6,3,15.6,11.9,8.3,0.14,0.6,4.3,3.0,basic,theory_heavy,morning,panic_mode,10.9
6,77,0,7.0,0,26.6,1.4,7.5,0.01,0.02,6.0,2.0,none,project_heavy,morning,Denial_mode,4.5
3,189,6,6.7,4,13.0,14.1,14.0,0.69,0.47,4.4,3.0,basic,memorization_heavy,afternoon,panic_mode,15.7
0,260,8,8.4,3,0.4,18.4,16.1,0.89,0.03,6.6,3.0,basic,memorization_heavy,Evening,Denial_mode,6.1
3,295,3,4.9,6,39.8,10.3,10.0,0.35,0.78,3.6,3.0,none,memorization_heavy,Evening,panic_mode,17.1
4,63,9,8.8,4,20.0,13.8,13.3,0.98,0.67,9.0,2.0,basic,theory_heavy,Evening,Denial_mode,11.3
9,290,0,5.2,0,27.5,13.2,14.8,0.02,0.2,5.8,3.0,strong,memorization_heavy,morning,No_issue,15.7
1,224,7,4.7,2,3.4,16.7,19.2,0.76,0.12,6.8,,strong,project_heavy,afternoon,Denial_mode,7.4
2,262,2,5.8,5,17.7,8.2,9.6,0.28,0.92,4.1,4.0,basic,theory_heavy,Evening,panic_mode,9.3
5,73,1,8.5,6,0.3,18.4,20.0,0.1,0.95,3.6,,strong,project_heavy,afternoon,panic_mode,19.8
9,228,4,4.6,1,24.9,4.0,6.2,0.4,0.49,3.3,3.0,basic,project_heavy,afternoon,panic_mode,3.1
3,160,8,4.2,7,1.9,7.3,7.0,0.83,0.92,4.9,4.0,none,theory_heavy,afternoon,panic_mode,2.5
8,295,2,5.5,3,0.6,13.1,14.7,0.25,0.67,8.1,3.0,basic,theory_heavy,Evening,No_issue,12.0
7,235,7,7.4,3,0.5,14.4,13.5,0.7,0.15,4.7,2.0,basic,project_heavy,Evening,No_issue,9.9
4,249,8,5.7,5,34.3,14.4,12.7,0.83,0.68,7.8,2.0,none,project_heavy,Evening,No_issue,16.8
0,289,1,5.2,7,4.8,17.8,18.9,0.12,0.64,3.1,5.0,strong,project_heavy,Evening,Denial_mode,8.8
0,83,8,6.4,5,11.3,11.8,15.6,0.88,0.45,3.2,4.0,strong,theory_heavy,morning,panic_mode,9.3
6,145,5,4.7,0,33.4,12.5,11.0,0.52,0.95,8.7,2.0,none,memorization_heavy,afternoon,Denial_mode,6.3
2,172,8,5.9,2,27.3,8.1,13.7,0.89,0.23,6.2,3.0,basic,theory_heavy,afternoon,No_issue,14.0
10,233,5,8.5,5,22.2,11.1,11.4,0.57,0.13,8.9,2.0,basic,project_heavy,Evening,Denial_mode,8.1
4,143,9,4.0,5,19.2,9.7,11.5,0.99,0.28,8.4,3.0,none,project_heavy,afternoon,No_issue,14.8
4,260,6,5.5,1,4.9,20.0,20.0,0.68,0.67,9.0,4.0,,project_heavy,afternoon,No_issue,17.7
0,231,7,7.8,3,2.5,13.9,9.6,0.79,0.55,3.5,5.0,none,memorization_heavy,afternoon,Denial_mode,2.4
2,53,0,5.7,4,38.9,11.3,12.4,0.04,0.65,8.9,4.0,basic,memorization_heavy,afternoon,No_issue,12.9
10,220,2,5.4,7,20.5,5.0,7.9,0.21,0.17,3.7,3.0,basic,memorization_heavy,morning,panic_mode,9.6
0,142,3,6.4,0,11.9,12.8,8.5,0.36,0.52,8.2,3.0,none,theory_heavy,morning,panic_mode,13.6
3,209,7,4.1,1,0.8,9.9,12.3,0.72,0.17,4.2,,basic,memorization_heavy,afternoon,panic_mode,4.3
5,133,5,4.7,4,38.8,5.2,12.5,0.58,0.41,3.4,3.0,none,theory_heavy,Evening,panic_mode,15.3
1,54,1,8.9,2,10.9,5.5,8.8,0.16,0.91,6.9,3.0,none,memorization_heavy,morning,panic_mode,4.9
3,82,0,6.1,7,23.4,9.2,12.7,0.08,0.6,5.0,3.0,none,memorization_heavy,morning,panic_mode,14.8
4,161,2,8.3,0,33.2,15.8,14.8,0.21,0.79,7.8,1.0,basic,memorization_heavy,afternoon,Denial_mode,12.2
7,199,3,4.8,1,17.4,7.3,13.7,0.38,0.5,4.9,3.0,strong,memorization_heavy,morning,panic_mode,9.5
8,260,5,8.0,4,32.4,19.1,19.6,0.51,0.03,7.2,1.0,strong,theory_heavy,afternoon,No_issue,20.0
2,195,3,7.4,5,23.4,20.0,15.4,0.31,0.57,8.6,3.0,,memorization_heavy,Evening,No_issue,18.1
4,79,9,5.5,6,21.6,14.4,15.5,0.92,0.41,6.5,3.0,basic,memorization_heavy,morning,panic_mode,12.1
4,214,8,6.3,2,31.0,11.6,12.9,0.85,0.72,8.4,2.0,basic,memorization_heavy,Evening,Denial_mode,7.2
10,253,2,8.9,7,25.8,17.4,20.0,0.26,0.8,6.0,2.0,strong,project_heavy,Evening,Denial_mode,14.6
10,194,5,7.2,3,37.2,1.5,7.1,0.5,0.35,8.3,3.0,none,project_heavy,Evening,panic_mode,6.5
9,102,0,7.6,7,30.1,3.3,10.1,0.03,0.03,7.4,2.0,none,project_heavy,morning,Denial_mode,6.3
4,193,1,7.2,4,17.4,10.0,10.8,0.15,0.72,8.1,3.0,none,project_heavy,afternoon,No_issue,13.8
10,218,4,6.5,6,32.6,5.8,13.7,0.4,0.28,3.4,3.0,none,memorization_heavy,Evening,panic_mode,15.2
10,129,7,7.3,7,12.0,7.9,9.0,0.79,0.23,4.2,2.0,none,theory_heavy,Evening,No_issue,11.1
4,166,4,6.1,3,28.9,11.0,13.3,0.47,0.81,5.5,3.0,strong,project_heavy,Evening,No_issue,15.6
2,213,7,5.8,7,38.5,15.2,14.6,0.78,0.44,5.1,4.0,strong,theory_heavy,afternoon,panic_mode,14.9
8,157,9,8.8,2,25.6,11.3,12.5,0.94,0.02,3.7,2.0,none,memorization_heavy,morning,No_issue,13.3
4,276,9,8.2,7,35.4,7.3,10.7,0.93,0.2,6.4,2.0,none,memorization_heavy,Evening,No_issue,12.6
2,265,2,7.4,6,12.0,18.7,19.2,0.28,0.84,8.5,4.0,strong,project_heavy,Evening,panic_mode,10.8
9,194,2,7.5,3,10.0,6.3,8.2,0.23,0.98,3.7,3.0,none,project_heavy,afternoon,panic_mode,6.6
6,263,3,6.1,2,35.4,8.4,8.0,0.36,0.23,7.2,4.0,none,project_heavy,afternoon,panic_mode,2.7
2,284,4,6.3,1,22.1,15.3,15.1,0.46,0.64,4.3,3.0,strong,theory_heavy,Evening,panic_mode,14.2
5,277,8,6.7,7,13.6,4.2,10.1,0.87,0.16,5.8,3.0,none,memorization_heavy,morning,panic_mode,9.0
10,86,4,5.3,5,7.8,20.0,18.6,0.41,0.62,4.1,4.0,strong,project_heavy,morning,panic_mode,14.2
5,163,9,8.3,2,23.8,10.9,12.8,0.9,0.94,8.7,3.0,basic,project_heavy,morning,No_issue,15.2
4,155,9,8.2,24,1.9,8.9,10.9,0.95,0.24,4.6,3.0,none,memorization_heavy,afternoon,panic_mode,6.5
2,173,1,4.9,2,32.0,15.0,15.2,0.19,0.97,8.5,4.0,basic,memorization_heavy,Evening,No_issue,17.1
1,172,7,6.5,2,11.5,13.1,14.4,0.78,0.12,7.6,3.0,basic,project_heavy,morning,No_issue,15.2
6,154,9,4.6,0,28.8,13.6,13.7,0.93,0.71,4.2,3.0,basic,project_heavy,morning,panic_mode,17.0
5,178,8,5.7,1,5.1,12.0,12.2,0.86,0.01,6.2,3.0,basic,memorization_heavy,Evening,No_issue,13.4
8,126,6,4.9,0,39.0,17.4,16.4,0.6,0.92,4.9,3.0,strong,memorization_heavy,afternoon,panic_mode,16.0
9,261,8,7.6,2,15.5,3.1,6.5,0.84,0.47,3.7,2.0,none,memorization_heavy,afternoon,No_issue,9.0
9,206,0,8.8,4,0.1,14.6,12.8,0.07,0.31,7.2,4.0,none,memorization_heavy,afternoon,No_issue,12.2
7,201,0,8.4,6,36.4,13.6,12.0,0.05,0.53,8.7,1.0,none,theory_heavy,afternoon,Denial_mode,6.5
5,60,0,7.4,6,20.0,15.8,19.1,0.02,0.06,5.9,2.0,basic,project_heavy,morning,Denial_mode,12.6
3,126,7,5.4,4,38.4,10.5,12.8,0.74,0.14,7.8,3.0,basic,memorization_heavy,Evening,No_issue,14.8
2,135,3,6.0,4,15.0,11.3,9.5,0.33,0.89,5.6,4.0,none,memorization_heavy,afternoon,panic_mode,12.6
1,50,8,7.6,0,2.6,9.1,6.7,0.81,0.82,6.2,4.0,none,project_heavy,afternoon,Denial_mode,0.9
8,148,7,4.5,0,37.7,15.5,16.8,0.74,0.28,8.9,3.0,strong,memorization_heavy,afternoon,No_issue,17.3
6,219,4,6.9,2,1.5,13.2,16.0,0.44,0.74,4.3,3.0,basic,theory_heavy,Evening,panic_mode,9.5
8,123,6,7.1,6,5.4,15.9,19.6,0.7,0.06,6.5,4.0,strong,theory_heavy,Evening,panic_mode,14.5
4,117,0,4.3,2,0.9,12.9,17.8,0.02,0.28,3.3,3.0,basic,theory_heavy,Evening,panic_mode,11.7
7,276,3,4.6,1,31.3,11.9,9.7,0.39,0.6,7.1,3.0,basic,project_heavy,morning,panic_mode,12.1
1,197,5,4.0,2,4.0,11.9,12.3,0.56,0.82,8.2,4.0,basic,memorization_heavy,morning,Denial_mode,5.8
5,114,2,6.1,2,29.4,12.1,13.9,0.27,0.33,6.5,3.0,,theory_heavy,Evening,No_issue,16.5
2,118,4,8.1,6,35.1,15.6,18.2,0.49,0.45,5.2,3.0,strong,theory_heavy,morning,panic_mode,12.7
8,211,8,5.1,5,32.4,4.8,12.5,0.84,0.27,3.4,2.0,none,project_heavy,Evening,No_issue,12.9
8,57,3,5.3,0,20.5,4.1,11.2,0.32,0.35,6.8,3.0,basic,theory_heavy,Evening,No_issue,11.9
6,68,7,8.4,1,8.8,18.4,16.5,0.72,0.7,3.8,2.0,strong,memorization_heavy,morning,No_issue,16.5
8,182,4,4.8,7,13.9,6.3,9.5,0.5,0.15,7.0,3.0,basic,theory_heavy,morning,panic_mode,10.4
9,254,0,5.7,3,23.5,15.0,14.6,0.05,0.39,6.5,,basic,project_heavy,Evening,No_issue,15.5
2,282,5,9.0,1,26.4,10.4,7.6,0.57,0.68,8.1,3.0,,memorization_heavy,Evening,panic_mode,6.7
10,186,1,8.3,3,33.4,6.5,12.4,0.14,0.31,5.7,2.0,,memorization_heavy,Evening,Denial_mode,7.7
10,104,5,7.8,0,36.4,19.8,,0.57,0.52,3.6,2.0,strong,project_heavy,Evening,No_issue,18.5
10,247,4,7.3,3,10.3,16.5,18.2,0.43,0.82,3.0,,strong,theory_heavy,morning,No_issue,17.4
4,176,6,6.5,6,28.9,2.9,9.7,0.61,0.36,6.0,3.0,none,memorization_heavy,Evening,panic_mode,9.4
9,290,3,4.5,6,0.0,10.9,10.5,0.38,0.9,4.7,4.0,basic,project_heavy,afternoon,panic_mode,4.6
