days_before_started_study,num_slides,num_assignments_done,avg_sleep_last_week,coffee_cups_per_day,hours_studied_last_week,avg_quiz_score,midterm_score,assignments_done_ratio,class_attendance_ratio,sleep_hours_before_exam,stress_level,ai_background,mentality_type,exam_time,crisis_type
7,193,0,8.7,3,35.8,14.0,15.9,0.02,0.21,3.3,1.0,,theory_heavy,afternoon,Denial_mode
1,122,0,7.1,1,9.6,14.4,12.4,0.01,0.51,4.2,3.0,none,project_heavy,afternoon,panic_mode
7,259,4,5.4,0,7.9,12.3,11.2,0.42,0.62,8.6,3.0,none,project_heavy,morning,No_issue
7,299,5,6.4,5,29.8,8.6,11.5,0.52,0.1,7.8,3.0,basic,memorization_heavy,afternoon,No_issue
4,172,9,5.2,1,13.2,15.2,15.6,0.96,1.0,3.0,3.0,strong,project_heavy,morning,panic_mode
6,65,3,4.6,3,4.2,18.7,16.9,0.4,0.69,4.8,3.0,basic,theory_heavy,Evening,panic_mode
5,256,7,7.9,1,32.9,10.0,12.6,0.77,0.96,8.1,1.0,,memorization_heavy,Evening,Denial_mode
8,65,1,7.0,0,20.7,14.9,14.2,0.17,0.1,4.2,2.0,strong,memorization_heavy,morning,Denial_mode
2,270,2,8.8,7,28.0,8.2,12.9,0.29,0.84,8.0,3.0,basic,project_heavy,afternoon,panic_mode
2,291,0,7.6,0,7.0,15.6,14.6,0.01,0.85,5.3,3.0,basic,project_heavy,Evening,No_issue
9,136,0,5.6,7,6.8,16.5,16.0,0.09,0.96,7.3,4.0,strong,theory_heavy,afternoon,panic_mode
6,94,3,4.5,0,14.0,13.4,16.0,0.37,0.74,8.4,3.0,strong,theory_heavy,Evening,No_issue
1,232,6,8.7,0,7.5,13.4,13.5,0.63,0.54,4.9,4.0,none,theory_heavy,Evening,panic_mode
0,209,3,4.8,3,7.8,9.3,12.3,0.39,0.42,3.2,4.0,none,memorization_heavy,afternoon,panic_mode
7,256,0,6.1,3,39.5,17.1,16.1,0.08,0.24,4.4,3.0,strong,memorization_heavy,Evening,panic_mode
5,65,9,7.0,6,32.1,6.1,8.9,0.99,0.66,5.3,2.0,basic,theory_heavy,afternoon,No_issue
7,98,3,4.3,2,2.3,15.6,15.4,0.39,0.49,6.2,4.0,basic,project_heavy,Evening,No_issue
6,87,2,6.4,0,34.0,9.5,14.2,0.23,0.47,8.1,3.0,basic,memorization_heavy,morning,No_issue
10,210,1,8.5,32,13.0,6.2,14.9,0.16,0.03,6.6,2.0,strong,project_heavy,Evening,Denial_mode
3,54,4,6.0,2,0.2,14.6,8.8,0.44,0.63,3.1,3.0,none,project_heavy,Evening,panic_mode
1,150,2,6.7,7,8.5,9.1,10.5,0.25,0.48,3.1,5.0,none,project_heavy,afternoon,panic_mode
9,168,9,7.9,4,12.7,16.5,16.1,0.93,0.88,3.6,2.0,none,theory_heavy,afternoon,No_issue
0,68,0,7.6,0,10.4,8.2,7.7,0.09,0.79,8.8,4.0,none,memorization_heavy,Evening,panic_mode
6,90,2,6.8,2,36.9,17.8,19.5,0.25,0.25,8.8,2.0,basic,memorization_heavy,Evening,Denial_mode
9,238,4,4.2,0,27.8,11.8,9.6,0.41,0.37,6.8,3.0,none,memorization_heavy,morning,panic_mode
10,278,6,7.9,2,8.6,10.1,11.4,0.68,0.41,6.3,3.0,strong,theory_heavy,morning,No_issue
6,61,9,5.5,6,24.1,11.3,17.9,0.99,0.82,4.2,2.0,strong,theory_heavy,afternoon,No_issue
7,218,0,5.9,5,19.1,10.3,11.7,0.07,0.82,8.7,2.0,strong,memorization_heavy,morning,Denial_mode
1,83,6,5.1,4,1.2,9.8,10.6,0.63,0.26,8.8,5.0,basic,memorization_heavy,Evening,Denial_mode
9,51,4,8.7,6,18.4,6.1,10.8,0.46,0.55,4.2,2.0,none,project_heavy,afternoon,No_issue
6,183,8,7.7,6,0.9,3.7,5.5,0.81,0.65,8.2,4.0,none,project_heavy,afternoon,panic_mode
9,54,2,4.8,4,37.9,8.5,10.0,0.2,0.07,8.6,3.0,none,project_heavy,Evening,panic_mode
2,255,4,7.9,0,26.3,13.1,13.4,0.42,0.59,7.8,,basic,memorization_heavy,afternoon,No_issue
6,114,7,7.5,0,28.0,8.8,9.1,0.72,0.85,8.0,,basic,project_heavy,Evening,No_issue
7,140,7,6.1,4,32.8,9.1,8.5,0.71,0.75,3.8,3.0,none,memorization_heavy,morning,panic_mode
6,177,4,6.6,7,14.2,8.1,11.2,0.46,0.94,4.1,3.0,none,theory_heavy,Evening,panic_mode
3,211,9,4.4,6,8.1,11.8,11.4,0.9,0.8,3.3,4.0,basic,project_heavy,Evening,panic_mode
5,190,5,4.1,2,24.6,14.8,14.7,0.55,0.93,4.5,3.0,strong,project_heavy,afternoon,panic_mode
1,204,9,8.8,4,10.3,3.0,10.0,0.96,0.33,6.0,4.0,basic,memorization_heavy,Evening,panic_mode
7,184,0,4.9,2,4.9,0.0,3.8,0.01,0.26,7.9,4.0,none,memorization_heavy,afternoon,panic_mode
3,58,8,7.6,7,34.9,6.1,9.4,0.88,0.14,7.2,2.0,none,project_heavy,Evening,No_issue
2,149,9,4.6,0,22.7,8.6,10.1,0.91,0.59,4.0,,none,memorization_heavy,afternoon,panic_mode
1,117,6,5.0,4,11.0,16.5,12.9,0.67,0.64,4.4,4.0,strong,project_heavy,morning,panic_mode
4,261,1,4.3,2,39.9,11.3,13.5,0.13,0.42,7.3,3.0,basic,project_heavy,Evening,No_issue
1,289,9,8.6,3,0.1,13.6,11.9,0.96,0.69,7.1,4.0,basic,theory_heavy,morning,Denial_mode
1,158,5,4.3,2,4.1,14.9,15.0,0.51,0.73,6.0,4.0,,theory_heavy,Evening,Denial_mode
7,129,3,6.4,3,35.7,15.3,13.5,0.39,0.66,4.0,2.0,basic,project_heavy,Evening,No_issue
7,97,1,4.1,3,0.0,20.0,18.8,0.19,0.61,4.6,3.0,strong,theory_heavy,Evening,panic_mode
8,67,5,6.1,4,1.6,8.7,10.9,0.54,0.47,6.8,3.0,,theory_heavy,afternoon,No_issue
5,282,8,4.4,7,14.1,7.9,12.1,0.83,0.15,8.3,3.0,none,project_heavy,morning,panic_mode
9,246,1,7.3,7,17.8,10.0,13.0,0.18,0.13,6.0,3.0,basic,memorization_heavy,morning,panic_mode
6,245,7,5.4,1,23.0,13.1,15.1,0.79,0.91,3.5,3.0,strong,memorization_heavy,morning,panic_mode
9,87,7,6.3,5,9.3,6.7,9.5,0.75,0.9,8.6,4.0,none,theory_heavy,morning,panic_mode
9,283,8,7.6,7,39.6,20.0,18.7,0.85,0.96,5.2,3.0,strong,memorization_heavy,morning,panic_mode
10,267,0,8.1,4,39.3,5.8,9.1,0.02,0.12,5.8,2.0,none,memorization_heavy,Evening,Denial_mode
4,237,9,6.3,1,29.9,14.8,15.4,0.97,0.04,7.4,2.0,basic,memorization_heavy,morning,No_issue
4,69,6,8.6,5,8.7,12.8,16.0,0.6,0.02,3.2,3.0,basic,theory_heavy,morning,panic_mode
0,101,9,4.8,6,8.7,14.5,13.8,0.91,0.96,5.1,,strong,theory_heavy,morning,panic_mode
3,53,0,6.5,3,0.0,11.1,12.1,0.05,0.75,4.7,4.0,basic,memorization_heavy,Evening,panic_mode
3,128,0,7.1,7,15.3,13.0,15.9,0.04,0.69,8.5,2.0,strong,theory_heavy,Evening,Denial_mode
7,217,4,8.6,1,2.1,14.8,13.7,0.42,0.92,4.4,3.0,none,project_heavy,afternoon,panic_mode
2,87,0,6.7,0,34.0,10.0,15.0,0.09,0.04,5.0,,basic,theory_heavy,Evening,panic_mode
2,155,0,4.8,0,4.6,2.9,6.6,0.02,0.59,6.2,5.0,none,theory_heavy,morning,Denial_mode
6,55,9,4.7,3,25.0,15.9,,0.91,0.86,6.7,2.0,basic,theory_heavy,morning,No_issue
9,193,6,4.5,5,13.0,9.3,11.5,0.61,0.48,5.4,4.0,none,memorization_heavy,Evening,No_issue
2,241,4,7.4,4,28.2,13.5,14.5,0.43,0.45,5.5,2.0,basic,memorization_heavy,morning,No_issue
5,70,7,5.2,4,19.6,17.0,17.9,0.71,0.85,4.5,3.0,strong,project_heavy,afternoon,panic_mode
2,213,2,6.5,1,1.8,5.2,8.6,0.2,0.46,8.1,5.0,none,theory_heavy,afternoon,Denial_mode
10,57,4,6.8,0,10.6,12.9,14.3,0.5,0.43,6.7,3.0,none,project_heavy,Evening,No_issue
4,89,7,4.6,2,16.1,9.3,10.2,0.78,0.9,3.7,3.0,basic,project_heavy,afternoon,panic_mode
6,173,6,7.8,1,5.7,7.8,,0.67,0.2,5.7,3.0,none,memorization_heavy,morning,No_issue
0,92,9,4.5,6,1.8,18.0,14.5,0.93,0.76,8.7,,basic,theory_heavy,afternoon,Denial_mode
4,172,9,5.5,0,23.1,13.5,14.6,0.95,0.56,3.9,2.0,basic,theory_heavy,afternoon,No_issue
8,236,3,7.4,1,7.2,11.8,13.4,0.36,0.38,8.2,3.0,basic,memorization_heavy,Evening,No_issue
10,211,7,5.5,0,4.0,16.9,18.0,0.79,0.28,5.6,3.0,strong,memorization_heavy,morning,No_issue
9,75,1,6.8,2,11.1,9.3,10.5,0.18,0.58,6.3,2.0,none,memorization_heavy,Evening,Denial_mode
4,294,0,6.8,6,24.4,9.6,13.7,0.01,0.02,8.8,3.0,basic,project_heavy,Evening,panic_mode
0,172,1,6.5,2,11.1,12.6,10.6,0.14,0.73,4.8,4.0,none,memorization_heavy,Evening,panic_mode
5,221,5,7.9,6,17.1,14.5,14.3,0.51,0.06,8.9,2.0,strong,project_heavy,Evening,Denial_mode
2,184,6,5.0,7,38.6,17.4,16.4,0.69,0.76,4.2,3.0,basic,theory_heavy,afternoon,panic_mode
4,157,9,9.0,5,36.1,10.0,10.7,1.0,0.61,7.7,3.0,none,memorization_heavy,afternoon,No_issue
9,69,8,7.5,0,2.0,6.0,8.8,0.87,0.28,7.3,3.0,none,theory_heavy,afternoon,panic_mode
5,100,2,8.8,6,37.2,11.3,10.3,0.23,0.24,8.4,2.0,none,memorization_heavy,Evening,Denial_mode
6,238,1,4.2,6,22.7,1.7,7.0,0.17,0.14,8.6,3.0,basic,theory_heavy,afternoon,panic_mode
1,165,9,7.2,3,0.2,20.0,16.8,0.92,0.55,6.7,3.0,basic,theory_heavy,Evening,Denial_mode
6,275,4,6.7,6,30.0,7.7,11.0,0.5,0.23,5.4,2.0,none,project_heavy,morning,No_issue
5,286,3,6.5,6,18.4,19.0,14.0,0.34,0.95,8.3,4.0,basic,project_heavy,afternoon,panic_mode
2,71,1,8.8,7,18.8,6.6,4.3,0.17,0.72,5.0,3.0,none,memorization_heavy,afternoon,panic_mode
9,116,0,8.7,2,31.0,8.9,12.3,0.02,0.8,6.7,1.0,basic,theory_heavy,morning,Denial_mode
0,130,7,6.8,5,6.9,18.9,15.5,0.77,0.64,4.4,5.0,basic,memorization_heavy,afternoon,panic_mode
0,167,4,7.3,0,0.6,10.9,9.7,0.47,0.59,8.7,4.0,none,memorization_heavy,morning,Denial_mode
6,235,0,6.5,2,15.0,10.3,12.1,0.06,0.52,5.2,3.0,basic,project_heavy,morning,No_issue
9,291,4,4.1,0,11.7,7.6,11.4,0.41,0.12,8.7,2.0,none,project_heavy,morning,Denial_mode
8,160,7,8.7,4,38.2,18.8,17.5,0.75,0.95,6.3,1.0,none,project_heavy,afternoon,No_issue
2,192,2,4.2,5,1.6,12.3,13.6,0.26,0.29,4.9,5.0,basic,theory_heavy,Evening,Denial_mode
1,139,5,7.7,5,10.0,17.7,16.5,0.59,0.13,4.0,,basic,theory_heavy,Evening,panic_mode
2,91,8,5.8,4,14.2,8.2,10.9,0.89,0.26,5.4,4.0,none,memorization_heavy,morning,No_issue
2,299,7,5.1,7,32.8,7.0,9.4,0.76,0.16,5.6,4.0,none,memorization_heavy,Evening,panic_mode
1,123,5,8.8,5,4.2,11.9,10.8,0.53,0.18,5.7,4.0,basic,theory_heavy,morning,Denial_mode
9,268,1,7.7,2,29.1,15.0,19.5,0.16,0.27,3.3,1.0,strong,memorization_heavy,Evening,Denial_mode
0,270,4,6.8,0,9.6,8.1,11.6,0.42,0.38,8.7,5.0,basic,theory_heavy,Evening,No_issue
5,55,8,4.6,2,2.4,16.8,15.2,0.8,0.43,7.9,3.0,strong,memorization_heavy,morning,No_issue
6,71,7,4.5,5,1.5,10.3,7.0,0.74,0.8,8.4,3.0,none,memorization_heavy,morning,panic_mode
4,152,7,7.1,2,14.0,4.7,7.4,0.78,0.75,5.5,3.0,none,memorization_heavy,Evening,panic_mode
0,129,7,6.4,1,8.0,4.3,9.1,0.75,0.08,8.0,5.0,none,memorization_heavy,morning,panic_mode
5,178,4,8.6,1,35.8,3.9,10.3,0.4,0.02,6.7,1.0,none,theory_heavy,morning,No_issue
6,278,8,8.7,4,28.3,11.2,13.6,0.88,0.51,5.8,1.0,basic,project_heavy,afternoon,No_issue
3,122,6,7.5,2,25.8,14.7,11.7,0.62,0.98,7.4,1.0,none,project_heavy,morning,No_issue
8,86,1,4.8,2,19.3,11.1,11.8,0.14,0.52,4.4,2.0,basic,memorization_heavy,afternoon,Denial_mode
10,62,8,7.0,6,14.7,9.4,14.4,0.84,0.39,6.2,4.0,basic,memorization_heavy,Evening,panic_mode
5,230,7,4.5,0,13.7,10.2,11.8,0.76,0.69,7.7,,none,memorization_heavy,Evening,No_issue
0,98,8,8.1,3,5.8,14.4,17.5,0.84,0.38,6.6,3.0,strong,project_heavy,afternoon,No_issue
2,183,0,6.8,0,15.8,11.5,10.5,0.06,0.55,6.2,3.0,none,memorization_heavy,morning,No_issue
4,241,4,7.7,1,39.1,13.3,,0.45,0.84,6.2,1.0,basic,project_heavy,afternoon,No_issue
8,246,1,4.7,1,30.6,4.7,9.8,0.14,0.1,5.0,3.0,none,project_heavy,Evening,panic_mode
10,294,2,8.9,1,29.0,13.3,13.3,0.24,0.84,7.9,1.0,strong,project_heavy,afternoon,Denial_mode
2,252,6,6.3,2,27.4,14.7,14.4,0.66,0.98,8.7,4.0,none,memorization_heavy,Evening,No_issue
8,72,7,8.4,5,39.5,13.5,14.6,0.78,0.86,7.9,2.0,basic,project_heavy,morning,No_issue
5,210,8,7.1,1,5.3,4.2,5.9,0.88,0.94,4.7,,none,theory_heavy,afternoon,panic_mode
4,177,4,4.9,7,2.7,17.6,17.6,0.41,0.58,9.0,5.0,basic,project_heavy,Evening,panic_mode
0,234,8,4.2,6,6.2,7.3,9.3,0.82,0.19,7.1,5.0,none,project_heavy,morning,panic_mode
2,250,1,6.9,4,15.0,19.0,17.5,0.19,0.87,3.5,4.0,strong,memorization_heavy,morning,panic_mode
7,164,6,5.3,5,32.3,8.7,12.4,0.62,0.67,3.5,2.0,none,theory_heavy,morning,No_issue
0,189,4,7.6,4,10.3,5.8,7.2,0.41,0.15,6.5,3.0,none,memorization_heavy,afternoon,panic_mode
8,272,4,7.4,0,3.9,17.5,17.5,0.44,0.59,6.3,2.0,strong,project_heavy,Evening,No_issue
1,106,1,8.7,2,6.9,14.6,17.6,0.12,0.66,6.8,4.0,strong,project_heavy,morning,No_issue
1,128,1,5.5,6,7.2,11.5,,0.11,0.7,6.6,4.0,basic,memorization_heavy,afternoon,panic_mode
0,86,2,8.4,0,5.8,6.7,12.5,0.3,0.07,6.8,3.0,none,project_heavy,afternoon,No_issue
9,158,8,7.4,0,5.0,14.4,17.8,0.87,0.54,5.5,3.0,strong,project_heavy,afternoon,No_issue
6,114,3,5.7,3,8.6,9.3,15.8,0.4,0.34,4.4,4.0,,memorization_heavy,morning,panic_mode
0,131,5,5.1,4,10.1,10.7,12.0,0.56,0.03,6.3,4.0,strong,theory_heavy,afternoon,No_issue
0,169,8,4.8,2,7.2,17.7,17.1,0.85,0.83,7.8,4.0,,project_heavy,Evening,No_issue
8,101,3,7.4,7,1.3,11.0,10.8,0.37,0.85,6.2,3.0,none,project_heavy,Evening,panic_mode
6,164,5,5.6,3,19.7,10.7,8.6,0.53,0.45,8.2,,none,memorization_heavy,morning,panic_mode
10,136,0,8.3,7,10.7,11.0,,0.08,0.36,4.8,2.0,basic,theory_heavy,afternoon,Denial_mode
9,224,8,4.3,3,5.0,18.5,20.0,0.85,0.79,6.0,4.0,strong,memorization_heavy,afternoon,No_issue
5,59,4,8.9,4,23.0,8.6,12.3,0.47,1.0,7.2,2.0,basic,memorization_heavy,morning,No_issue
4,225,0,8.2,2,32.4,8.0,13.8,0.06,0.13,6.4,,none,memorization_heavy,morning,Denial_mode
6,88,5,6.7,4,2.1,5.6,7.4,0.59,0.62,4.9,5.0,none,memorization_heavy,afternoon,panic_mode
1,92,2,7.2,0,4.0,12.7,14.1,0.26,0.92,7.0,4.0,strong,project_heavy,Evening,Denial_mode
10,240,7,5.0,0,26.6,9.8,12.9,0.76,0.71,4.2,2.0,strong,theory_heavy,morning,No_issue
8,215,6,4.7,5,12.8,5.8,10.5,0.69,0.09,3.9,,none,project_heavy,morning,No_issue
7,176,9,6.5,2,38.0,11.9,15.1,1.0,0.71,3.9,3.0,strong,memorization_heavy,Evening,panic_mode
1,277,8,4.5,0,8.8,1.6,8.1,0.86,0.14,4.4,5.0,none,project_heavy,Evening,panic_mode
2,228,9,4.3,7,15.8,14.8,11.3,0.94,0.77,8.7,4.0,none,theory_heavy,afternoon,panic_mode
10,268,0,4.8,6,122.0,8.4,11.5,0.03,0.43,6.6,4.0,none,memorization_heavy,afternoon,panic_mode
5,107,3,6.9,4,22.4,13.6,14.8,0.36,0.84,8.2,2.0,strong,theory_heavy,Evening,Denial_mode
6,245,1,6.2,4,23.2,4.5,10.7,0.1,0.08,5.6,2.0,basic,memorization_heavy,afternoon,Denial_mode
3,81,6,6.2,3,0.3,14.7,15.9,0.68,0.79,3.7,4.0,none,theory_heavy,Evening,panic_mode
10,144,2,4.5,7,25.8,13.8,15.9,0.2,0.81,8.0,2.0,basic,project_heavy,Evening,Denial_mode
1,130,0,8.4,3,6.7,7.4,,0.05,0.69,6.3,,none,theory_heavy,afternoon,panic_mode
7,281,0,8.8,3,25.7,11.8,14.4,0.03,0.86,8.5,2.0,basic,theory_heavy,morning,Denial_mode
8,83,4,6.8,6,27.1,16.8,11.3,0.47,0.56,4.7,4.0,basic,theory_heavy,Evening,panic_mode
0,150,5,8.3,7,1.8,12.1,15.4,0.58,0.05,5.7,4.0,basic,project_heavy,Evening,Denial_mode
3,247,9,5.9,5,19.6,12.2,10.7,0.98,0.55,6.9,3.0,none,memorization_heavy,afternoon,No_issue
0,58,2,8.5,2,6.8,2.3,8.2,0.27,0.07,4.1,4.0,none,memorization_heavy,afternoon,panic_mode
3,121,8,4.1,5,31.3,13.6,16.6,0.82,0.51,7.2,3.0,basic,memorization_heavy,morning,No_issue
0,266,4,7.4,6,4.0,17.3,11.6,0.41,0.51,4.5,,strong,theory_heavy,morning,Denial_mode
0,55,7,4.5,1,6.2,2.2,8.7,0.73,0.18,6.4,5.0,none,memorization_heavy,morning,panic_mode
9,274,9,4.7,4,36.5,12.9,12.6,0.92,0.72,3.2,2.0,none,memorization_heavy,Evening,No_issue
8,215,1,4.0,0,38.2,12.9,17.6,0.2,0.31,4.4,3.0,strong,project_heavy,Evening,panic_mode
5,293,5,4.1,0,6.7,5.8,11.4,0.56,0.34,5.1,3.0,basic,theory_heavy,Evening,No_issue
2,109,1,8.1,1,19.9,6.3,10.8,0.14,0.65,3.1,2.0,none,memorization_heavy,Evening,Denial_mode
8,235,3,7.4,2,17.9,9.0,9.0,0.37,0.91,8.2,2.0,none,theory_heavy,afternoon,Denial_mode
0,108,5,8.6,6,11.6,15.7,16.0,0.55,0.6,4.6,4.0,strong,project_heavy,Evening,panic_mode
9,235,7,5.7,3,16.1,12.0,13.4,0.74,0.02,7.2,2.0,basic,memorization_heavy,Evening,No_issue
10,80,6,4.1,0,2.6,11.0,11.8,0.7,0.69,4.8,3.0,basic,memorization_heavy,afternoon,panic_mode
7,105,2,7.2,3,14.2,5.7,9.9,0.27,0.56,8.4,2.0,basic,memorization_heavy,Evening,Denial_mode
8,282,8,5.8,0,25.5,14.2,16.1,0.84,0.65,4.0,3.0,none,project_heavy,morning,panic_mode
8,273,7,6.0,2,25.8,9.7,14.0,0.77,0.64,7.2,2.0,none,memorization_heavy,afternoon,No_issue
1,91,9,7.3,4,11.8,9.0,13.5,0.92,0.77,6.9,2.0,none,theory_heavy,afternoon,No_issue
2,296,9,8.7,3,17.4,18.4,14.6,0.95,0.25,8.3,3.0,basic,theory_heavy,morning,No_issue
7,111,2,6.8,3,2.8,15.8,16.3,0.25,0.38,6.5,4.0,basic,theory_heavy,morning,No_issue
5,75,4,4.2,3,39.8,14.3,16.3,0.41,0.37,8.2,,strong,theory_heavy,afternoon,No_issue
3,116,5,6.1,3,9.9,12.9,13.2,0.59,0.95,4.9,4.0,none,memorization_heavy,afternoon,panic_mode
0,53,9,5.0,1,10.7,10.0,9.5,0.99,0.82,7.4,4.0,none,theory_heavy,morning,panic_mode
6,81,6,7.5,0,34.3,13.8,13.9,0.62,0.8,4.6,2.0,,memorization_heavy,morning,No_issue
4,64,4,6.9,4,25.7,13.8,15.6,0.47,0.21,5.7,3.0,strong,memorization_heavy,morning,No_issue
7,281,5,6.6,0,29.8,13.5,14.4,0.56,0.82,6.1,2.0,basic,theory_heavy,Evening,No_issue
6,287,8,5.6,0,38.1,12.6,10.2,0.89,0.54,6.2,3.0,none,memorization_heavy,Evening,No_issue
2,102,7,4.9,5,25.6,9.6,10.9,0.71,0.83,5.3,3.0,basic,theory_heavy,afternoon,No_issue
5,137,6,4.8,4,31.9,13.0,13.9,0.64,0.77,6.1,2.0,basic,memorization_heavy,afternoon,No_issue
1,111,6,6.1,5,8.5,18.0,15.0,0.66,0.47,7.5,5.0,strong,project_heavy,Evening,No_issue
8,175,0,6.1,0,15.8,6.1,9.4,0.07,0.23,8.7,3.0,none,project_heavy,afternoon,panic_mode
4,123,3,4.4,7,33.4,6.6,10.4,0.35,0.39,7.4,3.0,none,theory_heavy,afternoon,panic_mode
1,163,7,5.8,1,0.1,19.5,17.0,0.75,0.83,4.9,5.0,basic,memorization_heavy,Evening,Denial_mode
3,118,3,7.4,7,14.8,7.2,12.8,0.37,0.26,8.3,3.0,none,memorization_heavy,afternoon,panic_mode
9,177,3,5.4,6,1.7,8.6,10.5,0.35,0.73,3.3,4.0,none,theory_heavy,morning,panic_mode
7,292,6,5.3,4,0.8,14.8,,0.7,0.83,3.8,3.0,strong,memorization_heavy,afternoon,panic_mode
6,158,3,5.6,2,0.2,8.5,12.7,0.34,0.42,4.8,,basic,project_heavy,Evening,panic_mode
4,156,1,5.3,6,17.7,4.0,8.8,0.19,0.28,3.1,3.0,basic,theory_heavy,morning,panic_mode
3,239,5,7.8,7,7.9,10.1,11.4,0.51,0.08,4.8,2.0,none,theory_heavy,morning,No_issue
10,290,0,5.3,4,37.1,12.5,14.5,0.09,0.66,5.2,,basic,theory_heavy,morning,Denial_mode
0,281,7,8.8,2,0.7,14.4,10.5,0.72,0.95,4.7,4.0,none,theory_heavy,Evening,Denial_mode
9,289,1,7.3,1,37.8,20.0,15.7,0.18,0.52,5.4,2.0,strong,project_heavy,Evening,Denial_mode
8,56,9,8.3,7,14.6,17.8,18.1,0.97,0.45,8.2,2.0,strong,project_heavy,morning,Denial_mode
3,185,9,6.7,7,1.1,16.3,16.3,0.98,0.92,7.6,4.0,strong,memorization_heavy,Evening,panic_mode
8,146,6,6.4,0,9.0,0.0,6.1,0.62,0.96,7.1,3.0,none,theory_heavy,Evening,panic_mode
7,202,8,5.7,0,14.9,2.9,7.9,0.81,0.35,6.6,3.0,basic,memorization_heavy,Evening,panic_mode
8,61,3,6.8,6,10.9,13.5,17.0,0.38,0.85,5.6,2.0,none,memorization_heavy,Evening,No_issue
2,216,5,8.3,0,21.9,10.4,18.9,0.6,0.31,4.6,2.0,basic,memorization_heavy,Evening,No_issue
7,69,1,5.5,6,10.5,8.2,10.6,0.19,0.2,8.4,3.0,none,theory_heavy,morning,panic_mode
3,181,6,8.5,3,26.7,10.7,10.7,0.65,0.99,3.0,,none,theory_heavy,Evening,No_issue
4,183,0,4.8,4,34.8,11.1,18.0,0.03,0.42,7.1,2.0,strong,theory_heavy,morning,Denial_mode
7,107,6,7.4,3,18.6,5.6,7.6,0.69,0.15,8.4,1.0,none,project_heavy,morning,Denial_mode
0,154,4,4.3,6,7.8,11.8,11.2,0.45,0.9,7.4,5.0,none,memorization_heavy,afternoon,panic_mode
1,199,7,5.5,2,10.0,6.4,9.5,0.75,0.33,3.7,5.0,basic,project_heavy,Evening,panic_mode
0,129,6,7.4,1,6.2,7.5,11.3,0.6,0.29,6.9,,none,project_heavy,morning,No_issue
9,206,1,7.6,5,8.6,19.4,19.9,0.18,0.01,8.6,3.0,strong,project_heavy,morning,No_issue
4,264,2,4.3,7,20.1,5.0,6.3,0.21,0.53,8.1,3.0,none,project_heavy,Evening,panic_mode
1,173,7,4.3,6,11.9,12.3,10.4,0.77,0.5,4.2,4.0,basic,project_heavy,afternoon,panic_mode
1,271,3,6.5,4,4.7,11.3,13.5,0.3,0.12,7.9,5.0,basic,project_heavy,morning,Denial_mode
8,281,7,6.5,7,11.6,2.1,7.8,0.74,0.2,3.1,3.0,none,project_heavy,afternoon,panic_mode
1,293,6,5.3,1,0.3,13.8,13.8,0.67,0.06,4.9,,strong,theory_heavy,Evening,Denial_mode
1,231,0,5.1,0,6.4,11.8,13.2,0.1,0.62,5.4,,basic,project_heavy,Evening,No_issue
10,272,7,6.4,5,25.4,7.3,10.5,0.74,0.44,3.5,3.0,basic,project_heavy,Evening,panic_mode
7,91,7,5.8,3,30.9,10.5,14.9,0.78,0.59,5.9,,,memorization_heavy,morning,No_issue
3,124,3,7.4,6,18.7,8.1,6.6,0.31,0.04,5.7,1.0,none,project_heavy,morning,No_issue
10,169,0,6.4,4,28.7,10.7,12.3,0.03,0.07,4.1,2.0,none,project_heavy,Evening,Denial_mode
4,111,4,8.7,7,38.6,14.2,12.8,0.47,0.53,5.0,2.0,basic,memorization_heavy,Evening,No_issue
10,55,1,7.4,1,12.3,10.3,9.7,0.18,0.97,5.2,2.0,basic,theory_heavy,afternoon,Denial_mode
2,275,3,6.5,4,3.1,15.0,17.5,0.39,0.21,3.7,4.0,strong,project_heavy,morning,Denial_mode
10,156,9,5.0,0,4.0,13.9,13.8,0.99,0.87,7.6,4.0,basic,theory_heavy,afternoon,No_issue
0,280,5,6.3,1,10.7,17.6,14.0,0.53,0.28,3.2,3.0,strong,project_heavy,morning,panic_mode
9,222,2,6.4,4,27.5,11.7,10.1,0.24,0.96,3.7,,basic,memorization_heavy,afternoon,Denial_mode
6,77,0,8.9,4,0.8,17.1,16.8,0.05,0.77,6.1,2.0,basic,theory_heavy,afternoon,Denial_mode
4,206,7,4.8,6,22.9,18.7,18.3,0.73,0.3,8.2,3.0,strong,memorization_heavy,afternoon,panic_mode
4,182,2,6.3,3,36.2,5.0,8.7,0.21,0.17,5.5,4.0,basic,theory_heavy,afternoon,panic_mode
4,224,1,4.1,5,7.8,8.7,9.0,0.13,0.39,8.5,5.0,,project_heavy,morning,panic_mode
2,198,8,5.3,3,25.3,11.2,14.2,0.82,0.36,7.7,4.0,basic,project_heavy,morning,No_issue
6,119,7,8.7,6,2.2,16.0,17.0,0.7,0.8,3.7,3.0,basic,theory_heavy,Evening,panic_mode
4,228,3,5.6,2,16.5,13.2,15.6,0.39,0.52,3.1,3.0,basic,theory_heavy,morning,panic_mode
8,224,0,4.5,1,4.2,8.6,10.6,0.06,0.72,7.8,,none,memorization_heavy,morning,No_issue
8,292,2,5.1,4,0.2,5.7,11.3,0.23,0.81,7.5,4.0,none,memorization_heavy,morning,No_issue
5,228,3,7.0,3,16.8,12.5,12.0,0.31,0.95,3.7,3.0,none,theory_heavy,Evening,panic_mode
